Data;Dia;Estádio;Tricolor;Pl1;Pl2;Adversário;Campeonato;Setor;Vídeo
28/05/2022;28/05/2022;Morumbi;São Paulo F.C.;2;2;Ceará;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=KNYw-UY0qBs
12/06/2022;12/06/2022;Morumbi;São Paulo F.C.;1;0;América-MG;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=8W0WcYjLr7I
20/06/2022;20/06/2022;Morumbi;São Paulo F.C.;1;2;Palmeiras;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=HBKQVQ62cVs
23/06/2022;23/06/2022;Morumbi;São Paulo F.C.;1;0;Palmeiras;Copa do Brasil;Arquibancada;https://www.youtube.com/watch?v=2RR0BqaAntI
26/06/2022;26/06/2022;Morumbi;São Paulo F.C.;0;0;Juventude;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=RZNK0spvW7Q
07/07/2022;07/07/2022;Morumbi;São Paulo F.C.;4;1;Universidad Católica-CHI;Sul-Americana;Arquibancada;https://www.youtube.com/watch?v=eZ9vgMYhA8w
17/07/2022;17/07/2022;Morumbi;São Paulo F.C.;2;2;Fluminense;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=M4DZWWTA634
23/07/2022;23/07/2022;Morumbi;São Paulo F.C.;3;3;Goiás;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=puSbaKFvp1U
28/07/2022;28/07/2022;Morumbi;São Paulo F.C.;1;0;América-MG;Copa do Brasil;Arquibancada;https://www.youtube.com/watch?v=OWi2yBZpZjw
03/08/2022;03/08/2022;Morumbi;São Paulo F.C.;1;0;Ceará;Sul-Americana;Cativa;https://www.youtube.com/watch?v=YQ4uh0KHcDQ
06/08/2022;06/08/2022;Morumbi;São Paulo F.C.;0;2;Flamengo;Copa do Brasil;Arquibancada;https://www.youtube.com/watch?v=cCXRh5gHxhY
24/08/2022;24/08/2022;Morumbi;São Paulo F.C.;1;3;Flamengo;Copa do Brasil;Arquibancada;https://www.youtube.com/watch?v=u6JNzDNA7V4
28/08/2022;28/08/2022;Morumbi;São Paulo F.C.;0;1;Fortaleza;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=p7Hs10bLY68
08/09/2022;08/09/2022;Morumbi;São Paulo F.C.;2;0;Atlético-GO;Sul-Americana;Arquibancada;https://www.youtube.com/watch?v=zEQnn74imzg
11/09/2022;11/09/2022;Morumbi;São Paulo F.C.;1;1;Corinthians;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=whD2Eb7oeys
25/09/2022;25/09/2022;Morumbi;São Paulo F.C.;4;0;Avaí;Brasileiro;Numerada;https://www.youtube.com/watch?v=Xkkwqt1xXPo
09/10/2022;09/10/2022;Morumbi;São Paulo F.C.;0;1;Botafogo-RJ;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=SGZQEyu6C3o
20/10/2022;20/10/2022;Morumbi;São Paulo F.C.;3;1;Coritiba;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=UUiO1YiAc2k
01/11/2022;01/11/2022;Morumbi;São Paulo F.C.;2;2;Atlético-MG;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=LfhlXBXEXI8
08/11/2022;08/11/2022;Morumbi;São Paulo F.C.;0;1;Internacional;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=K8e7H62mMN8
15/01/2023;15/01/2023;Morumbi;São Paulo F.C.;0;0;Ituano;Paulista;Arquibancada;https://www.youtube.com/watch?v=RtLunSYQYsY
26/01/2023;26/01/2023;Morumbi;São Paulo F.C.;4;1;Portuguesa;Paulista;Numerada;https://www.youtube.com/watch?v=kjq4MP_gimw
29/01/2023;29/01/2023;Morumbi;São Paulo F.C.;1;2;Corinthians;Paulista;Arquibancada;https://www.youtube.com/watch?v=6haIBI_zD9E
